jogador,liga,equipe_fantasy,sal_2025,sal_2026,sal_2027,sal_2028,sal_2029,sal_2030,draft_pick,idade,lesao,ano_retorno
Ja Morant,Liga 3,Amsterdam SkyHookers,15000000,15000000,15000000,,,,,,,
Kam Jones,Liga 3,Amsterdam SkyHookers,750000,900000,1550000,,,,,,,
AJ Green,Liga 3,Amsterdam SkyHookers,1000000,,,,,,,,,
Ben Simmons,Liga 3,Amsterdam SkyHookers,1000000,1000000,,,,,,,,
Devin Booker,Liga 3,Amsterdam SkyHookers,22500000,22500000,22500000,,,,,,,
Vít Krejčí,Liga 3,Amsterdam SkyHookers,1000000,1000000,,,,,,,,
Isaac Okoro,Liga 3,Amsterdam SkyHookers,1000000,1000000,,,,,,,,
Josh Hart,Liga 3,Amsterdam SkyHookers,12000000,12000000,,,,,,,,
Kelly Oubre Jr.,Liga 3,Amsterdam SkyHookers,4800000,,,,,,,,,
Liam McNeeley,Liga 3,Amsterdam SkyHookers,1000000,1100000,2000000,,,,,,,
Bennedict Mathurin,Liga 3,Amsterdam SkyHookers,4950000,4950000,4950000,4950000,,,,,,
Caleb Wilson,Liga 3,Amsterdam SkyHookers,4200000,4700000,5300000,6700000,,,,,,
Jabari Smith Jr.,Liga 3,Amsterdam SkyHookers,15000000,15000000,15000000,,,,,,,
P.J. Washington,Liga 3,Amsterdam SkyHookers,9000000,9000000,,,,,,,,
Brook Lopez,Liga 3,Amsterdam SkyHookers,1900001,1900001,,,,,,,,
Khaman Maluach,Liga 3,Amsterdam SkyHookers,2850000,3050000,4000000,,,,,,,
Ryan Kalkbrenner,Liga 3,Amsterdam SkyHookers,1350000,1500000,2500000,,,,,,,
Rob Dillingham,Liga 3,Apucarana Capmakers,2700000,3700000,,,,,,,,
Coby White,Liga 3,Apucarana Capmakers,8999999,8999999,8999999,8999999,,,,,,
Jalen Brunson,Liga 3,Apucarana Capmakers,24000000,,,,,,,,,
Luguentz Dort,Liga 3,Apucarana Capmakers,1000000,,,,,,,,,
Luke Kennard,Liga 3,Apucarana Capmakers,1000000,1000000,,,,,,,,
Malik Monk,Liga 3,Apucarana Capmakers,5490000,5490000,,,,,,,,
Ryan Conwell,Liga 3,Apucarana Capmakers,500000,550000,700000,1400000,,,,,,
Jalen Williams,Liga 3,Apucarana Capmakers,16200000,16200000,16200000,16200000,16200000,,,,,
