rank_hashtag,indicador_rank_bruto,nome,nome_normalizado,chave_join,adp,posicao,time_nba,gp,min,fg3m,pts,reb,ast,stl,blk,tov,total_hashtag,z_fg3m,z_pts,z_reb,z_ast,z_stl,z_blk,z_tov,rating_7cat,bonus_gp_app,rating_7cat_gp20,rank_7cat,rank_7cat_gp20,match_app,nome_app,ligas_fantasy,linha_origem
1,1,Victor Wembanyama,victor wembanyama,victor wembanyama,2.9,C,SA,66,30.4,2.2,25.6,11.8,3.6,1.1,3.2,2.9,10.74,1.144239,2.319892,3.138875,0.637072,0.87279,6.445202,-2.047495,1.787225,0.160976,2.074925,1,1,exato,Victor Wembanyama,"{""Liga 3"": ""Campinas Boatshoes"", ""Liga 5"": ""Alfenas Ciengos"", ""Liga 6"": ""Waterford White Waterfalls"", ""Liga 9"": ""Malmö Bulls"", ""Liga Camaradas"": ""Black Roosters"", ""Liga Dinasty"": ""San Antonio Camels""}",129
2,1,Nikola Jokic,nikola jokic,nikola jokic,1.8,C,DEN,72,35.1,1.8,28.4,12.7,10.4,1.6,0.7,3.5,9.36,0.688768,2.75457,3.503576,4.280334,2.147585,0.546018,-2.798069,1.588969,0.17561,1.868007,2,2,exato,Nikola Jokić,"{""Liga 3"": ""Spursão da Massa"", ""Liga 5"": ""Cold Palmers"", ""Liga 6"": ""Jacarezinho SugarKane"", ""Liga 9"": ""Rio de Janeiro Almirantes"", ""Liga Camaradas"": ""Lobos Comunistas"", ""Liga Dinasty"": ""Denver Charizard""}",137
3,1,Luka Doncic,luka doncic,luka doncic,4.6,PG,LAL,68,35.4,4.0,32.7,8.7,8.8,1.7,0.5,4.0,9.16,3.193859,3.42211,1.882684,3.423096,2.402544,0.074083,-3.423547,1.567833,0.165854,1.827864,3,3,exato,Luka Dončić,"{""Liga 3"": ""Araxá Ghosts"", ""Liga 5"": ""The Gamblers"", ""Liga 6"": ""Transilvânia Drácula's"", ""Liga 9"": ""Pelada das Terças"", ""Liga Camaradas"": ""Alfenas Ciengos"", ""Liga Dinasty"": ""Embu Capivarers""}",145
4,1,Shai Gilgeous-Alexander,shai gilgeous-alexander,shai gilgeous-alexander,3.1,PG,OKC,71,33.5,1.9,32.1,4.7,6.5,1.6,0.9,2.3,6.48,0.802636,3.328965,0.261793,2.190816,2.147585,1.017952,-1.296922,1.207546,0.173171,1.416658,4,4,exato,Shai Gilgeous-Alexander,"{""Liga 3"": ""Campinas Boatshoes"", ""Liga 5"": ""Araxá GhostBusters"", ""Liga 6"": ""St Cloud Bulldogs"", ""Liga 9"": ""Alfenas Ciengos"", ""Liga Camaradas"": ""People’s Republic of MAGA"", ""Liga Dinasty"": ""Xique Xique City Thunder""}",153
5,2,Jayson Tatum,jayson tatum,jayson tatum,11.4,SF/PF,BOS,68,33.7,3.3,26.1,8.8,6.1,1.2,0.5,2.8,6.08,2.396785,2.397513,1.923207,1.976507,1.127749,0.074083,-1.9224,1.139063,0.165854,1.327981,5,5,exato,Jayson Tatum,"{""Liga 3"": ""Sky Flyers"", ""Liga 5"": ""Alfenas Ciengos"", ""Liga 6"": ""DC Musketeers"", ""Liga 9"": ""Juca Revolucion"", ""Liga Camaradas"": ""Alfenas Ciengos"", ""Liga Dinasty"": ""Boston Red Sexo""}",161
6,8,Tyrese Haliburton,tyrese haliburton,tyrese haliburton,73.7,PG/SG,IND,63,30.9,2.8,17.3,3.3,9.6,1.3,0.6,1.5,5.88,1.827446,1.031384,-0.305519,3.851715,1.382708,0.31005,-0.296157,1.114518,0.153659,1.285773,6,6,exato,Tyrese Haliburton,"{""Liga 3"": ""Bahia Kaniballs"", ""Liga 5"": ""Inimigos do Aquiles"", ""Liga 6"": ""Fazemburg"", ""Liga 9"": ""Piracicaba Fazemburg"", ""Liga Camaradas"": ""104a87c0-6db3-4137-b6f7-4d7cce339bf2.HEIC"", ""Liga Dinasty"": ""Indiana e Indimara""}",169
7,5,Anthony Davis,anthony davis,anthony davis,12.6,PF/C,WAS,65,31.1,0.6,22.5,10.9,3.2,1.1,1.9,2.1,5.75,-0.677646,1.838642,2.774175,0.422763,0.87279,3.377626,-1.04673,1.080231,0.158537,1.251488,7,7,exato,Anthony Davis,"{""Liga 3"": ""Fortaleza Rivers"", ""Liga 5"": ""118 Warriors"", ""Liga 6"": ""Seattle RockCity"", ""Liga 9"": ""Paulínia Oil Kings"", ""Liga Camaradas"": ""LA-SHOWTIME"", ""Liga Dinasty"": ""Atlanta HardCocks""}",177
8,1,Tyrese Maxey,tyrese maxey,tyrese maxey,16.6,PG/SG,PHI,70,36.1,2.8,24.2,3.4,5.8,1.8,0.5,2.2,5.15,1.827446,2.102554,-0.264997,1.815775,2.657503,0.074083,-1.171826,1.005791,0.170732,1.177512,9,9,exato,Tyrese Maxey,"{""Liga 3"": ""Tokyo Black Devils"", ""Liga 5"": ""Dublin Boatshoes"", ""Liga 6"": ""Jacarezinho SugarKane"", ""Liga 9"": ""SANTOS ROCKETS"", ""Liga Camaradas"": ""Pindorama Ornitorrincos"", ""Liga Dinasty"": ""Tô Tonto Raptors""}",185
9,4,Giannis Antetokounmpo,giannis antetokounmpo,giannis antetokounmpo,5.3,PF/C,MIA,69,34.2,0.3,31.4,11.9,6.5,1.0,1.1,3.3,5.02,-1.019249,3.220296,3.179398,2.190816,0.617831,1.489887,-2.547878,1.018729,0.168293,1.190173,8,8,exato,Giannis Antetokounmpo,"{""Liga 3"": ""Los Brasas Candangos"", ""Liga 5"": ""CTBA Bikers"", ""Liga 6"": ""Banter Era Italians"", ""Liga 9"": ""Curralinho Balds"", ""Liga Camaradas"": ""Califórnia Roosters"", ""Liga Dinasty"": ""Cuscuz Cavaliers""}",193
10,4,Cade Cunningham,cade cunningham,cade cunningham,8.2,PG,DET,68,33.9,2.0,25.0,5.8,9.8,1.3,0.8,4.1,4.69,0.916503,2.226747,0.707538,3.95887,1.382708,0.781985,-3.548643,0.917958,0.165854,1.070205,13,14,exato,Cade Cunningham,"{""Liga 3"": ""São Leopoldo Bells"", ""Liga 5"": ""Barões da COHAB"", ""Liga 6"": ""Golden Shower's State"", ""Liga 9"": ""Malmö Bulls"", ""Liga Camaradas"": ""Salvador Guardians"", ""Liga Dinasty"": ""BadBoys Pistons""}",201
11,3,Anthony Edwards,anthony edwards,anthony edwards,6.8,SG/SF,MIN,74,35.3,3.7,28.7,5.6,3.5,1.2,0.7,3.0,4.66,2.852256,2.801142,0.626493,0.583495,1.127749,0.546018,-2.172591,0.909223,0.180488,1.073327,14,13,exato,Anthony Edwards,"{""Liga 3"": ""Nova Iguaçu K'chutes"", ""Liga 5"": ""Bagres da Bola"", ""Liga 6"": ""Mauá Sloths"", ""Liga 9"": ""Wizards"", ""Liga Camaradas"": ""CG Ghosts"", ""Liga Dinasty"": ""Timberwolves Tropicals""}",209
12,1,Donovan Mitchell,donovan mitchell,donovan mitchell,21.9,PG/SG,CLE,72,33.4,3.3,26.9,4.7,5.4,1.5,0.3,2.6,4.65,2.396785,2.521707,0.261793,1.601465,1.892626,-0.397852,-1.672208,0.943474,0.17561,1.109157,11,12,exato,Donovan Mitchell,"{""Liga 3"": ""Coimbra Tiranossauros"", ""Liga 5"": ""Barões da COHAB"", ""Liga 6"": ""Toca Aqui Josh Hart"", ""Liga 9"": ""Fé nA Planilha"", ""Liga Camaradas"": ""Spreadshits"", ""Liga Dinasty"": ""Sofrimento Kings""}",217
13,9,Scottie Barnes,scottie barnes,scottie barnes,29.6,SG/SF,TOR,80,34.2,1.0,19.4,7.9,6.1,1.5,1.3,2.8,4.64,-0.222175,1.357392,1.558506,1.976507,1.892626,1.961822,-1.9224,0.943183,0.195122,1.127218,12,11,exato,Scottie Barnes,"{""Liga 3"": ""Tatuapé Nightbirds"", ""Liga 5"": ""Los Crackers Hermanos"", ""Liga 6"": ""Camaradas do Manu"", ""Liga 9"": ""Campinas Scorpions"", ""Liga Camaradas"": ""Alfenas Ciengos"", ""Liga Dinasty"": ""Tô Tonto Raptors""}",226
14,28,Derrick White,derrick white,derrick white,55.0,PG/SG,BOS,75,33.8,3.1,16.5,4.5,5.1,1.1,1.2,1.7,4.61,2.169049,0.907191,0.180748,1.440733,0.87279,1.725855,-0.546348,0.964288,0.182927,1.140682,10,10,exato,Derrick White,"{""Liga 3"": ""Guarulhos Airplanes"", ""Liga 5"": ""Victory Village"", ""Liga 6"": ""Camaradas do Manu"", ""Liga 9"": ""CG Goats"", ""Liga Camaradas"": ""Lobos Comunistas"", ""Liga Dinasty"": ""Cuscuz Cavaliers""}",234
15,11,Evan Mobley,evan mobley,evan mobley,34.2,PF/C,CLE,72,32.5,1.1,19.3,9.6,3.6,0.8,1.8,2.1,4.5,-0.108307,1.341868,2.247385,0.637072,0.107913,3.141659,-1.04673,0.90298,0.17561,1.061552,15,15,exato,Evan Mobley,"{""Liga 3"": ""Brasília SKY"", ""Liga 5"": ""Laranja da Baixada"", ""Liga 6"": ""Fazemburg"", ""Liga 9"": ""CG Goats"", ""Liga Camaradas"": ""Merseyside Spurs"", ""Liga Dinasty"": ""Campina Grande Rocketeers""}",242
16,2,Jalen Johnson,jalen johnson,jalen johnson,32.3,PF,ATL,72,35.1,1.5,21.4,10.2,6.9,1.4,0.6,3.3,4.43,0.347164,1.667876,2.490519,2.405126,1.637667,0.31005,-2.547878,0.901503,0.17561,1.059816,16,16,exato,Jalen Johnson,"{""Liga 3"": ""Los Brasas Candangos"", ""Liga 5"": ""Laranja da Baixada"", ""Liga 6"": ""Camaradas do Manu"", ""Liga 9"": ""Malmö Bulls"", ""Liga Camaradas"": ""People’s Republic of MAGA"", ""Liga Dinasty"": ""Campina Grande Rocketeers""}",250
17,,Cooper Flagg,cooper flagg,cooper flagg,23.3,SF/PF,DAL,72,34.1,1.3,23.3,7.3,4.9,1.3,1.0,2.2,4.43,0.119429,1.962836,1.315372,1.333578,1.382708,1.25392,-1.171826,0.885145,0.17561,1.040585,17,17,exato,Cooper Flagg,"{""Liga 3"": ""Nova Iguaçu K'chutes"", ""Liga 5"": ""Fortaleza Wildcats"", ""Liga 6"": ""Seattle RockCity"", ""Liga 9"": ""Birigui Booster"", ""Liga Camaradas"": ""WR Advocacia"", ""Liga Dinasty"": ""Especialista em JazzFlaggs""}",258
18,5,Chet Holmgren,chet holmgren,chet holmgren,43.3,PF/C,OKC,70,29.7,1.4,17.3,9.1,1.9,0.7,2.1,1.7,4.26,0.233297,1.031384,2.044774,-0.273743,-0.147046,3.849561,-0.546348,0.884554,0.170732,1.035576,18,18,exato,Chet Holmgren,"{""Liga 3"": ""Tatuapé Nightbirds"", ""Liga 5"": ""Bagres da Bola"", ""Liga 6"": ""Recife Serverus"", ""Liga 9"": ""Malmö Bulls"", ""Liga Camaradas"": ""Spreadshits"", ""Liga Dinasty"": ""Embu Capivarers""}",266
19,2,Trey Murphy III,trey murphy iii,trey murphy,74.5,SG/SF,NO,68,35.2,3.2,21.6,5.5,3.7,1.3,0.5,1.9,4.08,2.282917,1.698925,0.585971,0.69065,1.382708,0.074083,-0.796539,0.845531,0.165854,0.985765,19,19,exato,Trey Murphy III,"{""Liga 3"": ""Guarulhos Airplanes"", ""Liga 5"": ""Barões da COHAB"", ""Liga 6"": ""Golden Shower's State"", ""Liga 9"": ""Araraquara Volcanos"", ""Liga Camaradas"": ""Samurai Ballers"", ""Liga Dinasty"": ""Campina Grande Rocketeers""}",274
20,10,Stephen Curry,stephen curry,stephen curry,21.1,PG,GS,60,31.6,4.4,25.4,3.6,5.2,1.0,0.4,2.9,3.91,3.649331,2.288844,-0.183952,1.49431,0.617831,-0.161885,-2.047495,0.808141,0.146341,0.926405,20,23,exato,Stephen Curry,"{""Liga 3"": ""São Paulo Pigeon Raids"", ""Liga 5"": ""Araxá GhostBusters"", ""Liga 6"": ""Banter Era Italians"", ""Liga 9"": ""SANTOS ROCKETS"", ""Liga Camaradas"": ""Salto Dogs"", ""Liga Dinasty"": ""Paraíba State Warriors""}",282
21,7,Jaren Jackson Jr.,jaren jackson jr.,jaren jackson,73.9,PF/C,UTA,67,30.7,2.0,21.8,5.8,2.1,1.2,1.5,2.2,3.79,0.916503,1.729973,0.707538,-0.166588,1.127749,2.433757,-1.171826,0.796729,0.163415,0.926927,23,22,exato,Jaren Jackson Jr.,"{""Liga 3"": ""Tatuapé Nightbirds"", ""Liga 5"": ""The Gamblers"", ""Liga 6"": ""PG Canions"", ""Liga 9"": ""Alfenas Ciengos"", ""Liga Camaradas"": ""KUSH CITY GANG"", ""Liga Dinasty"": ""Cuscuz Cavaliers""}",290
22,7,Jamal Murray,jamal murray,jamal murray,36.7,PG,DEN,73,34.8,2.8,23.2,4.1,6.5,1.1,0.4,2.1,3.73,1.827446,1.947312,0.018659,2.190816,0.87279,-0.161885,-1.04673,0.806915,0.178049,0.950586,21,20,exato,Jamal Murray,"{""Liga 3"": ""Unitri/Uberlândia"", ""Liga 5"": ""Laranja da Baixada"", ""Liga 6"": ""Pit Bulls do Samba"", ""Liga 9"": ""Ponta Negra Hawks"", ""Liga Camaradas"": ""Spreadshits"", ""Liga Dinasty"": ""Tô Tonto Raptors""}",298
23,29,Bam Adebayo,bam adebayo,bam adebayo,30.0,PF/C,MIA,74,33.4,1.4,19.3,9.9,3.8,1.2,0.7,1.9,3.72,0.233297,1.341868,2.368952,0.744227,1.127749,0.546018,-0.796539,0.795082,0.180488,0.938584,24,21,exato,Bam Adebayo,"{""Liga 3"": ""Sky Flyers"", ""Liga 5"": ""Dublin Boatshoes"", ""Liga 6"": ""Floripa Javalis"", ""Liga 9"": ""Rochedo Risco"", ""Liga Camaradas"": ""Salvador Guardians"", ""Liga Dinasty"": ""Tô Tonto Raptors""}",306
24,29,Paul George,paul george,paul george,96.7,SF/PF,BOS,58,31.2,2.6,17.1,5.4,4.1,1.8,0.5,2.2,3.55,1.59971,1.000336,0.545449,0.904959,2.657503,0.074083,-1.171826,0.801459,0.141463,0.914836,22,24,exato,Paul George,"{""Liga 3"": ""Tokyo Black Devils"", ""Liga 5"": ""Alfenas Ciengos"", ""Liga 6"": ""Toca Aqui Josh Hart"", ""Liga 9"": ""Juca Revolucion"", ""Liga Camaradas"": ""Malmö Bulls"", ""Liga Dinasty"": ""Planidelfia 76ers""}",314
25,38,Donovan Clingan,donovan clingan,donovan clingan,105.3,C,POR,74,27.2,1.1,11.4,11.4,1.9,0.6,1.8,1.3,3.5,-0.108307,0.115457,2.976786,-0.273743,-0.402005,3.141659,-0.045965,0.771983,0.180488,0.911317,26,26,exato,Donovan Clingan,"{""Liga 3"": ""Guarulhos Airplanes"", ""Liga 5"": ""Penha's Village Deceivers"", ""Liga 6"": ""St Cloud Bulldogs"", ""Liga 9"": ""Juca Revolucion"", ""Liga Camaradas"": ""Pindorama Ornitorrincos"", ""Liga Dinasty"": ""8ef4e070-d767-40b9-b120-a1cc15ae4ac5.jfif""}",323
26,7,Kawhi Leonard,kawhi leonard,kawhi leonard,49.2,SF/PF,TOR,65,31.1,2.2,23.7,5.0,3.0,1.7,0.4,1.9,3.39,1.144239,2.024933,0.38336,0.315608,2.402544,-0.161885,-0.796539,0.758894,0.158537,0.879207,27,28,exato,Kawhi Leonard,"{""Liga 3"": ""São Leopoldo Bells"", ""Liga 5"": ""Los Brasas Excellsiors"", ""Liga 6"": ""Terraplanilhistas"", ""Liga 9"": ""Turnovers CG"", ""Liga Camaradas"": ""LA-SHOWTIME"", ""Liga Dinasty"": ""Clippão da Massa""}",331
27,8,Josh Giddey,josh giddey,josh giddey,31.6,PG/SG,CHI,70,32.0,1.8,16.3,8.5,8.4,1.2,0.6,3.3,3.39,0.688768,0.876142,1.80164,3.208786,1.127749,0.31005,-2.547878,0.780751,0.170732,0.91405,25,25,exato,Josh Giddey,"{""Liga 3"": ""Unitri/Uberlândia"", ""Liga 5"": ""São Leopoldo Taurus"", ""Liga 6"": ""Toca Aqui Josh Hart"", ""Liga 9"": ""Samuel L Jackson's"", ""Liga Camaradas"": ""Pindorama Ornitorrincos"", ""Liga Dinasty"": ""Cuscuz Cavaliers""}",339
28,38,Naz Reid,naz reid,naz reid,99.5,PF/C,CHA,74,30.8,2.5,16.2,7.1,2.6,1.0,1.1,1.7,3.29,1.485842,0.860618,1.234328,0.101299,0.617831,1.489887,-0.546348,0.749065,0.180488,0.884262,28,27,exato,Naz Reid,"{""Liga 3"": ""Pawnee Ponies"", ""Liga 5"": ""118 Warriors"", ""Liga 6"": ""PG Canions"", ""Liga 9"": ""Turnovers CG"", ""Liga Camaradas"": ""Lobos Comunistas"", ""Liga Dinasty"": ""Denver Charizard""}",347
29,80,Alexandre Sarr,alexandre sarr,alexandre sarr,93.6,PF/C,WAS,68,28.8,1.5,15.4,7.4,2.7,0.8,1.8,1.8,3.18,0.347164,0.736424,1.355895,0.154876,0.107913,3.141659,-0.671443,0.738927,0.165854,0.861481,29,30,alias_curado,Alex Sarr,"{""Liga 3"": ""Humaitá Lions"", ""Liga 5"": ""Bagres da Bola"", ""Liga 6"": ""Pit Bulls do Samba"", ""Liga 9"": ""Araraquara Volcanos"", ""Liga Camaradas"": ""Samurai Ballers"", ""Liga Dinasty"": ""8ef4e070-d767-40b9-b120-a1cc15ae4ac5.jfif""}",355
30,26,Matas Buzelis,matas buzelis,matas buzelis,121.2,SF/PF,CHI,75,31.3,2.4,17.2,6.4,2.1,0.8,1.7,2.1,3.15,1.371975,1.01586,0.950672,-0.166588,0.107913,2.905692,-1.04673,0.734113,0.182927,0.868402,30,29,exato,Matas Buzelis,"{""Liga 3"": ""Coritiba Cubes"", ""Liga 5"": ""Bagres da Bola"", ""Liga 6"": ""Waterford White Waterfalls"", ""Liga 9"": ""RJ Pombos"", ""Liga Camaradas"": ""Malmö Bulls"", ""Liga Dinasty"": ""Indiana e Indimara""}",363
31,19,Alperen Sengün,alperen sengun,alperen sengun,31.7,C,HOU,72,33.3,0.4,20.5,10.0,5.7,1.2,1.0,3.0,3.13,-0.905381,1.528158,2.409474,1.762197,1.127749,1.25392,-2.172591,0.714789,0.17561,0.840313,34,32,exato,Alperen Sengun,"{""Liga 3"": ""Araxá Ghosts"", ""Liga 5"": ""Penha's Village Deceivers"", ""Liga 6"": ""R3 Brothers"", ""Liga 9"": ""Birigui Booster"", ""Liga Camaradas"": ""Malmö Bulls"", ""Liga Dinasty"": ""New York Riffs""}",371
32,2,Walker Kessler,walker kessler,walker kessler,77.2,C,LAL,68,30.2,0.5,11.8,10.8,1.8,0.7,2.2,1.9,3.12,-0.791514,0.177553,2.733653,-0.32732,-0.147046,4.085529,-0.796539,0.704902,0.165854,0.821813,35,36,exato,Walker Kessler,"{""Liga 3"": ""Campinas Boatshoes"", ""Liga 5"": ""Especialista em Drafts"", ""Liga 6"": ""Golden Shower's State"", ""Liga 9"": ""Araraquara Volcanos"", ""Liga Camaradas"": ""104a87c0-6db3-4137-b6f7-4d7cce339bf2.HEIC"", ""Liga Dinasty"": ""Especialista em JazzFlaggs""}",379
33,14,Onyeka Okongwu,onyeka okongwu,onyeka okongwu,93.1,C,ATL,74,31.1,1.4,15.2,8.8,2.9,1.1,1.1,1.6,3.07,0.233297,0.705376,1.923207,0.262031,0.87279,1.489887,-0.421252,0.723619,0.180488,0.854224,31,31,exato,Onyeka Okongwu,"{""Liga 3"": ""Pawnee Ponies"", ""Liga 5"": ""Los Crackers Hermanos"", ""Liga 6"": ""PG Canions"", ""Liga 9"": ""Curralinho Balds"", ""Liga Camaradas"": ""Lobos Comunistas"", ""Liga Dinasty"": ""Cuscuz Cavaliers""}",387
34,17,Kel'el Ware,kel'el ware,kel'el ware,127.5,C,MIL,74,27.9,1.1,13.0,10.5,1.1,0.9,1.4,1.1,3.06,-0.108307,0.363844,2.612086,-0.702362,0.362872,2.197789,0.204226,0.704307,0.180488,0.831426,36,35,exato,Kel'el Ware,"{""Liga 3"": ""Unitri/Uberlândia"", ""Liga 5"": ""Los Brasas Excellsiors"", ""Liga 6"": ""Transilvânia Drácula's"", ""Liga 9"": ""Curralinho Balds"", ""Liga Camaradas"": ""Black Roosters"", ""Liga Dinasty"": ""Miami HIT""}",395
35,3,Lauri Markkanen,lauri markkanen,lauri markkanen,86.2,SF/PF,UTA,65,34.1,3.0,23.8,6.7,1.9,0.9,0.5,1.5,2.96,2.055181,2.040457,1.072239,-0.273743,0.362872,0.074083,-0.296157,0.719276,0.158537,0.833308,32,34,exato,Lauri Markkanen,"{""Liga 3"": ""Brasília SKY"", ""Liga 5"": ""Los Crackers Hermanos"", ""Liga 6"": ""Pit Bulls do Samba"", ""Liga 9"": ""CG Goats"", ""Liga Camaradas"": ""Carlim lakao"", ""Liga Dinasty"": ""New York Riffs""}",403
